rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,steering_wheel_torque
1541191795422218919,,29538,,1541191795,422071235,'',2.6875
1541191795442640754,,29539,,1541191795,442426610,'',2.625
1541191795462566596,,29540,,1541191795,462449733,'',2.625
1541191795481719400,,29541,,1541191795,481559668,'',2.625
1541191795502527098,,29542,,1541191795,502371229,'',2.6875
1541191795522047002,,29543,,1541191795,521882244,'',2.5625
1541191795542640716,,29544,,1541191795,542464417,'',2.5625
1541191795561542065,,29545,,1541191795,561392815,'',2.5625
1541191795581754325,,29546,,1541191795,581536757,'',2.5
1541191795601935797,,29547,,1541191795,601794198,'',2.4375
1541191795622310523,,29548,,1541191795,622160706,'',2.4375
1541191795641824631,,29549,,1541191795,641662297,'',2.4375
1541191795662611011,,29550,,1541191795,662454237,'',2.4375
1541191795682479499,,29551,,1541191795,682367462,'',2.3125
1541191795702581448,,29552,,1541191795,702425819,'',2.3125
1541191795722089081,,29553,,1541191795,721944758,'',2.3125
1541191795741643456,,29554,,1541191795,741524405,'',2.25
1541191795761580034,,29555,,1541191795,761473112,'',2.25
1541191795782697730,,29556,,1541191795,782552012,'',2.3125
1541191795801634455,,29557,,1541191795,801511953,'',2.3125
1541191795822142321,,29558,,1541191795,822007169,'',2.25
1541191795841584037,,29559,,1541191795,841412890,'',2.0625
1541191795862680434,,29560,,1541191795,862501676,'',2.125
1541191795881666171,,29561,,1541191795,881543078,'',2.1875
1541191795901901482,,29562,,1541191795,901812542,'',2.1875
1541191795922322956,,29563,,1541191795,922150279,'',2.125
1541191795941514815,,29564,,1541191795,941411922,'',2.1875
1541191795961661107,,29565,,1541191795,961521379,'',2.25
1541191795982501693,,29566,,1541191795,982413676,'',2.1875
1541191796001532020,,29567,,1541191796,1438143,'',2.125
1541191796021981319,,29568,,1541191796,21870395,'',2.125
1541191796041577074,,29569,,1541191796,41436522,'',2.1875
1541191796061874747,,29570,,1541191796,61773538,'',2.1875
1541191796082571381,,29571,,1541191796,82425623,'',2.0625
1541191796102542655,,29572,,1541191796,102416202,'',2.125
1541191796122318861,,29573,,1541191796,121913413,'',2.125
1541191796141545337,,29574,,1541191796,141442609,'',2.125
1541191796161674388,,29575,,1541191796,161553704,'',2.125
1541191796181880616,,29576,,1541191796,181782197,'',2.1875
1541191796201962929,,29577,,1541191796,201828320,'',2.25
1541191796222038146,,29578,,1541191796,221876830,'',2.125
1541191796241593491,,29579,,1541191796,241486423,'',2.125
1541191796261717863,,29580,,1541191796,261572694,'',2.25
1541191796281558944,,29581,,1541191796,281424633,'',2.1875
1541191796301520727,,29582,,1541191796,301425826,'',2.1875
1541191796322092081,,29583,,1541191796,321961870,'',2.125
1541191796341626212,,29584,,1541191796,341452179,'',2.1875
1541191796361682242,,29585,,1541191796,361532176,'',2.1875
1541191796381642848,,29586,,1541191796,381472793,'',2.1875
1541191796401561504,,29587,,1541191796,401457513,'',2.1875
1541191796421148428,,29588,,1541191796,420935444,'',2.125
1541191796441658088,,29589,,1541191796,441494973,'',2.0
1541191796461595892,,29590,,1541191796,461491011,'',2.0
1541191796481597786,,29591,,1541191796,481456503,'',1.9375
1541191796502056048,,29592,,1541191796,501871143,'',1.875
1541191796521101656,,29593,,1541191796,520948986,'',2.0
1541191796541642959,,29594,,1541191796,541499062,'',1.875
1541191796561818108,,29595,,1541191796,561577312,'',1.625
1541191796581643962,,29596,,1541191796,581551278,'',1.8125
1541191796601731706,,29597,,1541191796,601571271,'',1.9375
1541191796620984394,,29598,,1541191796,620855017,'',2.0
1541191796641618735,,29599,,1541191796,641476249,'',1.75
1541191796661660329,,29600,,1541191796,661518280,'',1.5
1541191796681634514,,29601,,1541191796,681474040,'',1.5
1541191796701525168,,29602,,1541191796,701429263,'',1.625
1541191796721725809,,29603,,1541191796,721533771,'',1.625
1541191796741591309,,29604,,1541191796,741486000,'',1.6875
1541191796761602558,,29605,,1541191796,761432394,'',1.625
1541191796781634904,,29606,,1541191796,781503201,'',1.625
1541191796801001313,,29607,,1541191796,800917104,'',1.625
1541191796821033309,,29608,,1541191796,820807442,'',1.5625
1541191796841800713,,29609,,1541191796,841640276,'',1.5
1541191796861612595,,29610,,1541191796,861482545,'',1.5625
1541191796881617722,,29611,,1541191796,881472756,'',1.6875
1541191796901620212,,29612,,1541191796,901496005,'',1.6875
1541191796921085924,,29613,,1541191796,920913914,'',1.8125
1541191796941661132,,29614,,1541191796,941531578,'',1.875
1541191796961675233,,29615,,1541191796,961559406,'',1.8125
1541191796981635832,,29616,,1541191796,981512075,'',1.6875
1541191797001563115,,29617,,1541191797,1419796,'',1.625
1541191797020912026,,29618,,1541191797,20740327,'',1.625
1541191797041642602,,29619,,1541191797,41508759,'',1.5
1541191797061664054,,29620,,1541191797,61527388,'',1.4375
1541191797081668127,,29621,,1541191797,81505496,'',1.3125
1541191797101561631,,29622,,1541191797,101487905,'',1.3125
1541191797120872433,,29623,,1541191797,120718947,'',1.375
1541191797141625994,,29624,,1541191797,141490448,'',1.4375
1541191797161586640,,29625,,1541191797,161471040,'',1.3125
1541191797181611866,,29626,,1541191797,181477811,'',0.875
1541191797201634367,,29627,,1541191797,201501874,'',0.5625
1541191797221035600,,29628,,1541191797,220899668,'',0.5625
1541191797241689136,,29629,,1541191797,241479185,'',0.625
1541191797261635995,,29630,,1541191797,261501455,'',0.6875
1541191797281633562,,29631,,1541191797,281494604,'',0.8125
1541191797301719674,,29632,,1541191797,301534249,'',0.9375
1541191797320752820,,29633,,1541191797,320632884,'',0.5625
1541191797341748029,,29634,,1541191797,341603278,'',0.125
1541191797361725158,,29635,,1541191797,361562930,'',-0.125
1541191797381752303,,29636,,1541191797,381596566,'',-0.375
1541191797401064504,,29637,,1541191797,400863411,'',-0.625
1541191797420728535,,29638,,1541191797,420607378,'',-0.875
1541191797440872464,,29639,,1541191797,440647080,'',-1.0
1541191797461630240,,29640,,1541191797,461439184,'',-0.9375
1541191797481828132,,29641,,1541191797,481529372,'',-1.0625
1541191797501662767,,29642,,1541191797,501530321,'',-1.0
1541191797521023445,,29643,,1541191797,520897971,'',-1.1875
1541191797541605372,,29644,,1541191797,541499101,'',-1.0625
1541191797561631437,,29645,,1541191797,561467948,'',-1.375
1541191797581763852,,29646,,1541191797,581519729,'',-1.1875
1541191797601651255,,29647,,1541191797,601495447,'',-1.1875
1541191797620798528,,29648,,1541191797,620556675,'',-1.25
1541191797641601436,,29649,,1541191797,641495936,'',-1.1875
1541191797661620336,,29650,,1541191797,661480548,'',-1.125
1541191797681691840,,29651,,1541191797,681556324,'',-1.125
1541191797700931882,,29652,,1541191797,700830770,'',-0.9375
1541191797721124964,,29653,,1541191797,720885941,'',-1.1875
