rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,tire_press_lf,tire_press_rf,tire_press_rr_orr,tire_press_lr_olr,tire_press_rr_irr,tire_press_lr_ilr
1541191768129303986,,1126,,1541191768,129225306,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191768629383911,,1127,,1541191768,629283794,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191769129415178,,1128,,1541191769,129340425,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191769629403129,,1129,,1541191769,629283973,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191770129451170,,1130,,1541191770,129292506,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191770629379600,,1131,,1541191770,629270090,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191771130362984,,1132,,1541191771,130212030,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191771629423835,,1133,,1541191771,629218951,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191772130245615,,1134,,1541191772,130152426,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191772630292101,,1135,,1541191772,630192133,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191773129280368,,1136,,1541191773,129175504,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191773630171049,,1137,,1541191773,630030561,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191774130100350,,1138,,1541191774,129976654,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191774630076902,,1139,,1541191774,629956453,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191775130041821,,1140,,1541191775,129889028,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191775629983883,,1141,,1541191775,629895151,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191776130012082,,1142,,1541191776,129902935,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191776631391487,,1143,,1541191776,631249999,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191777129873264,,1144,,1541191777,129743296,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191777632074710,,1145,,1541191777,631972539,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191778129731787,,1146,,1541191778,129625586,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191778629797849,,1147,,1541191778,629696122,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191779129626565,,1148,,1541191779,129477561,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191779630599892,,1149,,1541191779,630473704,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191780129760084,,1150,,1541191780,129667781,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191780629864787,,1151,,1541191780,629675799,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191781129769622,,1152,,1541191781,129656100,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191781630046038,,1153,,1541191781,629926564,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191782129990419,,1154,,1541191782,129807868,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191782629940989,,1155,,1541191782,629819793,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191783129941309,,1156,,1541191783,129798250,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191783630989069,,1157,,1541191783,630818321,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191784130876184,,1158,,1541191784,130766034,'',32.0,30.0,33.0,34.0,255.0,255.0
