1541191795415976275,,29531,,1541191795,415707201,'',,,15.88,0.0,0.0,,0.0,0.0,7.11937063254
1541191795436435574,,29532,,1541191795,436254475,'',,,15.88,0.0,0.0,,0.0,0.0,6.85072853513
1541191795456048376,,29533,,1541191795,455738855,'',,,15.89,0.0,0.0,,0.0,0.0,6.59837280726
1541191795476530735,,29534,,1541191795,476256809,'',,,15.89,0.0,0.0,,0.0,0.0,6.27331993663
1541191795495913989,,29535,,1541191795,495712464,'',,,15.89,0.0,0.0,,0.0,0.0,5.89180055476
1541191795515971918,,29536,,1541191795,515717553,'',,,15.91,0.0,0.0,,0.0,0.0,5.40478362695
1541191795536494031,,29537,,1541191795,536315545,'',,,15.91,0.0,0.0,,0.0,0.0,4.8885856394
1541191795556256500,,29538,,1541191795,555767963,'',,,15.94,0.0,0.0,,0.0,0.0,4.25602895312
1541191795576708711,,29539,,1541191795,576438564,'',,,15.96,0.0,0.0,,0.0,0.0,3.58331730749
1541191795595926739,,29540,,1541191795,595718717,'',,,15.99,0.0,0.0,,0.0,0.0,2.93319268181
1541191795616014641,,29541,,1541191795,615746277,'',,,16.02,0.0,0.0,,0.0,0.0,2.17514188458
1541191795636764929,,29542,,1541191795,636545220,'',,,16.06,0.0,0.0,,0.0,0.0,1.44164346289
1541191795656040322,,29543,,1541191795,655768963,'',,,16.1,0.0,0.0,,0.0,0.0,0.676596468275
1541191795676287959,,29544,,1541191795,676106313,'',,,16.14,0.0,0.0,,0.0,0.0,-0.209964374591
1541191795695910905,,29545,,1541191795,695753103,'',,,16.18,0.0,0.0,,0.0,0.0,-1.18526827198
1541191795715910766,,29546,,1541191795,715733174,'',,,16.23,0.0,0.0,,0.0,0.0,-2.23883413326
1541191795736374008,,29547,,1541191795,736163889,'',,,16.27,0.0,0.0,,0.0,0.0,-3.59573243846
1541191795756093327,,29548,,1541191795,755780729,'',,,16.31,0.0,0.0,,0.0,0.0,-5.39412573344
1541191795776539893,,29549,,1541191795,776273065,'',,,16.34,0.0,0.0,,0.0,0.0,-8.225754839
1541191795795907347,,29550,,1541191795,795749446,'',,,16.39,0.0,0.0,,0.0,0.0,-13.2782795706
1541191795815984078,,29551,,1541191795,815759089,'',,,16.44,0.0,0.0,,0.0,0.0,-29.9975520969
1541191795836279135,,29552,,1541191795,836101858,'',,,16.5,0.0,0.0,,0.0,0.0,201.264435664
1541191795856061899,,29553,,1541191795,855772127,'',,,16.56,0.0,0.0,,0.0,0.0,23.6167163694
1541191795876562565,,29554,,1541191795,876249330,'',,,16.63,0.0,0.0,,0.0,0.0,11.4169097904
1541191795895949759,,29555,,1541191795,895789142,'',,,16.69,0.0,0.0,,0.0,0.0,6.90033497194
1541191795915981787,,29556,,1541191795,915759460,'',,,16.77,0.0,0.0,,0.0,0.0,4.34294268816
1541191795936169249,,29557,,1541191795,936005581,'',,,16.85,0.0,0.0,,0.0,0.0,2.48792074039
1541191795956212953,,29558,,1541191795,955832317,'',,,16.93,0.0,0.0,,0.0,0.0,0.963511697205
1541191795976447303,,29559,,1541191795,976253814,'',,,17.02,0.0,0.0,,0.0,0.0,-0.459056975894
