rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,throttle_rate,throttle_pc,engine_rpm
1541198208772605065,,53728,,1541198208,772413402,'',11.6000003815,0.0,1372.0
1541198208781158218,,53729,,1541198208,781054636,'',11.6000003815,0.0,1370.0
1541198208793482660,,53730,,1541198208,793318038,'',11.6000003815,0.0,1374.0
1541198208801418787,,53731,,1541198208,801317672,'',11.6000003815,0.0,1378.0
1541198208812582849,,53732,,1541198208,812462496,'',11.6000003815,0.0,1378.0
1541198208821192899,,53733,,1541198208,821054685,'',11.6000003815,0.0,1384.0
1541198208832606936,,53734,,1541198208,832457411,'',11.6000003815,0.0,1386.0
1541198208841650900,,53735,,1541198208,841511632,'',11.6000003815,0.0,1386.0
1541198208853226965,,53736,,1541198208,853069308,'',11.6000003815,0.0,1390.0
1541198208861246033,,53737,,1541198208,861118495,'',11.6000003815,0.0,1392.0
1541198208872676599,,53738,,1541198208,872468701,'',11.6000003815,0.0,1392.0
1541198208881163296,,53739,,1541198208,881049432,'',11.6000003815,0.0,1398.0
1541198208893565501,,53740,,1541198208,893412717,'',11.6000003815,0.0,1398.0
1541198208901618786,,53741,,1541198208,901490868,'',11.6000003815,0.0,1400.0
1541198208912551830,,53742,,1541198208,912427315,'',11.6000003815,0.0,1400.0
1541198208921608006,,53743,,1541198208,921478663,'',11.6000003815,0.0,1402.0
1541198208933383427,,53744,,1541198208,933108004,'',11.6000003815,0.0,1402.0
1541198208941350330,,53745,,1541198208,941228114,'',11.6000003815,0.0,1402.0
1541198208953241525,,53746,,1541198208,953071532,'',11.6000003815,0.0,1402.0
1541198208961381129,,53747,,1541198208,961232215,'',11.6000003815,0.0,1408.0
1541198208972553925,,53748,,1541198208,972443219,'',11.6000003815,0.0,1408.0
1541198208981695769,,53749,,1541198208,981586751,'',11.6000003815,0.0,1406.0
1541198208993368426,,53750,,1541198208,993205431,'',11.6000003815,0.0,1410.0
1541198209001402281,,53751,,1541198209,1223256,'',11.6000003815,0.0,1412.0
1541198209012629429,,53752,,1541198209,12454800,'',11.6000003815,0.0,1412.0
1541198209021140591,,53753,,1541198209,20994716,'',11.6000003815,0.0,1416.0
1541198209033556806,,53754,,1541198209,33260103,'',11.6000003815,0.0,1418.0
1541198209041594530,,53755,,1541198209,41382126,'',11.6000003815,0.0,1418.0
